Scheme Name,Objective,Key Benefits,Eligibility,Implementing Agency,Source,State,All Documents Required
Bhausaheb Fundkar Falbag Lagvad Scheme,Promote the plantation of perennial horticulture crops.,Support for planting 16 specified fruit crops over areas ranging from 0.10 to 10 hectares in Konkan and 0.20 to 6 hectares in other regions.,Farmers in Maharashtra interested in horticulture plantation.,"Department of Agriculture, Maharashtra.",https://www.myscheme.gov.in/schemes/bhausaheb-fundkar-horticulture-plantataion-scheme,maharashtra,"Application form, proof of land ownership, bank account details, Aadhaar card, and photographs."
Fasal Bima Yojana,Provide crop insurance coverage.,Comprehensive risk cover for crops against natural calamities.,All farmers in Haryana.,"Department of Agriculture and Farmers Welfare, Haryana",https://agriharyana.gov.in/,haryana,"Aadhaar card, Proof of identity, Land ownership documents, Bank account details, Application form"
Crop Diversification Scheme,Encourage farmers to diversify crops to reduce water usage.,Financial assistance for adopting alternative crops.,Farmers in water-scarce regions of Haryana.,"Department of Agriculture and Farmers Welfare, Haryana",https://agriharyana.gov.in/,haryana,"Aadhaar card, Proof of identity, Land ownership documents, Bank account details, Application form"
Rajiv Gandhi Kisan Nyay Yojana,Provide financial assistance to farmers to boost agricultural production.,"Financial benefits transferred in four installments; initially for paddy, maize, and sugarcane; later expanded to other crops.",Farmers cultivating eligible crops.,"Department of Agriculture, Chhattisgarh.",https://www.myscheme.gov.in/schemes/rgkny,chhattisgarh,"Aadhaar card, Proof of identity, Land ownership documents, Bank account details, Application form"
AP Rythu Raksha Scheme,Provide financial assistance to farmers.,"₹10,000 per acre annually.",All farmers in Andhra Pradesh.,"Department of Agriculture, Andhra Pradesh.",https://www.manage.gov.in/fpoacademy/SGSchemes/andhrapradesh.pdf,andhra_pradesh,"Residential certificate, Income Certificate, Voter ID, Ration card, Aadhaar card, Bank Details (Account Number, Branch code, Bank name, IFSC code)"
Rastriya Krishi Vikas Yojana (RKVY),Promote holistic development of agriculture.,"Funding for infrastructure development, technology adoption, and capacity building.",Farmers and agricultural entrepreneurs.,"Department of Agriculture, Andhra Pradesh.",https://www.apagrisnet.gov.in/schemes.php,andhra_pradesh,Specific document requirements may vary; please consult the official scheme guidelines.
YSR Jala Kala,Provide free bore wells to farmers for irrigation.,Free drilling of bore wells to enhance irrigation facilities.,Farmers in need of irrigation support.,"Department of Rural Development, Andhra Pradesh.",https://www.myscheme.gov.in/schemes/ysr-jala-kala,andhra_pradesh,"Filled-in application form, Self-attested copies of required documents (specific documents not detailed in the source; please consult the official scheme guidelines)."
Chief Minister Raitha Vidya Nidhi,Provide scholarships to children of farmers to support their education.,Financial assistance for students pursuing higher education.,Children of farmers in Karnataka.,"Department of Agriculture, Karnataka.",https://raitamitra.karnataka.gov.in/english,karnataka,Aadhaar card; Bank account details; Proof of parent’s farming status; Educational certificates.
Rashtriya Krishi Vikas Yojana (RKVY RAFTAAR),Achieve holistic development of agriculture and allied sectors.,"Funding for agriculture infrastructure, assets, and value addition.",Farmers and agricultural entrepreneurs.,"Department of Agriculture, Karnataka.",https://raitamitra.karnataka.gov.in/english,karnataka,Project proposal; Aadhaar card; Bank account details; Relevant licenses or registrations.
Krishi Bhagya,Enhance rainfed agriculture through water conservation.,"Support for farm ponds, polyhouses, and micro-irrigation systems.",Farmers practicing rainfed agriculture.,"Department of Agriculture, Karnataka.",https://chitradurga.nic.in/en/agriculture/,karnataka,Aadhaar card; Proof of land ownership; Bank account details.
Mukhya Mantri Krishi Sa Sajuli Yojana (MMKSSY),Provide financial assistance to small and marginal farmers for procuring farm tools and implements.,"One-time grant of ₹5,000 per farmer; aimed to benefit 5 lakh farmers.",Small and marginal farmers in Assam.,"Department of Agriculture, Government of Assam",https://www.myscheme.gov.in/schemes/mmkssy-assam,assam,"Aadhaar card, Proof of identity, Land ownership documents, Bank account details, Application form"
Assam Farmer's Credit Subsidy Scheme (AFCSS),Offer partial crop loan waiver to reduce financial burden on farmers.,"Subsidy covering 25% of crop loans, up to a maximum of ₹25,000.","Farmers who have availed crop loans between April 1, 2019, and March 31, 2020.","Department of Agriculture, Government of Assam",https://agri-horti.assam.gov.in/schemes,assam,"Aadhaar card, Crop loan sanction letter, Land records, Bank account details"
Mukhya Mantri Krishi Sa Sajuli Yojana (MMKSSY),Provide financial assistance to small and marginal farmers for procuring farm tools and implements.,"One-time grant of ₹5,000 per farmer; aimed to benefit 5 lakh farmers.",Small and marginal farmers in Assam.,"Department of Agriculture, Government of Assam",https://www.myscheme.gov.in/schemes/mmkssy-assam,bihar,"Aadhaar card, Proof of identity, Land ownership documents, Bank account details, Application form"
Assam Farmer's Credit Subsidy Scheme (AFCSS),Offer partial crop loan waiver to reduce financial burden on farmers.,"Subsidy covering 25% of crop loans, up to a maximum of ₹25,000.","Farmers who have availed crop loans between April 1, 2019, and March 31, 2020.","Department of Agriculture, Government of Assam",https://agri-horti.assam.gov.in/schemes,bihar,"Aadhaar card, Crop loan sanction letter, Land records, Bank account details"
CM Kissan Card Scheme,Provide financial assistance to farmers for purchasing agricultural inputs.,"Each card, valid for six months, permits farmers to obtain up to ₹1.5 lakh per season, capped at ₹30,000 per acre.",Landholding farmers in Punjab.,"Department of Agriculture, Punjab Government",https://punjab.gov.pk/cm-kissan-card-scheme,punjab,"CNIC, Proof of land ownership, Recent photographs"
CM Punjab Livestock Card,Support livestock farmers with financial assistance for purchasing feed and medicines.,"Provides necessary financial resources to farmers, enabling them to provide balanced ration/feed to their livestock.",Livestock farmers in Punjab.,"Department of Animal Husbandry, Punjab Government",https://www.punjab.gov.pk/cm-punjab-livestock-card,punjab,"CNIC, Proof of livestock ownership, Recent photographs"
Punjab Farm Tourism Scheme,Promote farm tourism and provide additional income to farmers.,"Offers tourists a clean, hygienic, and comfortable stay in farmhouses, providing cultural experiences and additional income to farmers.",Farmers with suitable farmhouses in Punjab.,"Department of Tourism & Cultural Affairs, Punjab Government",https://www.myscheme.gov.in/schemes/pfts,punjab,"CNIC, Proof of land ownership, Layout of the farmhouse, Recent photographs"
Reinvenation of Cultivated Watercourses in Punjab (Phase I),Improve water use efficiency and irrigation facilities.,Financial assistance for the renovation of watercourses to reduce water wastage.,Farmers in areas with watercourse issues in Punjab.,"Department of Agriculture, Punjab Government",https://www.agripunjab.gov.pk/newschemes,punjab,"CNIC, Proof of land ownership, Watercourse renovation plan"
Krishak Durghatna Kalyan Yojana,Provide financial assistance to farmers in case of accidents.,Compensation for accidental death or disability.,Farmers and their family members in Uttar Pradesh.,"Department of Agriculture, Government of Uttar Pradesh",https://www.myscheme.gov.in/schemes/kdky,uttar_pradesh,"Aadhaar card, Proof of land ownership, Medical certificates in case of disability"
Prime Minister's Agriculture Irrigation Scheme (Per Drop More Crop),Enhance water use efficiency in agriculture.,Financial assistance for micro-irrigation systems.,Farmers in Uttar Pradesh adopting micro-irrigation.,"Department of Agriculture, Government of Uttar Pradesh",https://upagriculture.com/Default_ENG.aspx,uttar_pradesh,"Aadhaar card, Proof of land ownership, Micro-irrigation plan"
Tamil Nadu Watershed Development Agency (TNWDA),Improve water use efficiency and irrigation facilities.,Financial assistance for the renovation of watercourses and watershed development.,Farmers in areas with watercourse issues in Tamil Nadu.,Tamil Nadu Watershed Development Agency,https://www.tnagrisnet.tn.gov.in/home/schemes/en,tamilnadu,"Aadhaar card, Proof of land ownership, Watercourse renovation plan"
PM Kisan Samman Nidhi,Provide financial support to farmers.,"₹6,000 per year in three equal installments.",All farmers in Tamil Nadu.,"Ministry of Agriculture & Farmers Welfare, Government of India",https://www.tnagrisnet.tn.gov.in/esevai/,tamilnadu,"Aadhaar card, Bank account details"
Krishak Bandhu (Natun) Scheme,Provide financial assistance and social security to farmers.,"Annual financial assistance of ₹10,000 per acre; one-time death benefit of ₹2 lakh for farmers aged 18-60.",All farmers in West Bengal.,"Department of Agriculture, Government of West Bengal",https://krishakbandhu.net/about_kb,west_bengal,"Aadhaar card, Proof of land ownership, Age proof, Recent photographs"
Financial Support Scheme for Farm Mechanization (FSSM),Promote mechanization in agriculture.,Subsidy for small and marginal farmers to purchase power-operated farm equipment and machinery.,Small and marginal farmers in West Bengal.,"Department of Agriculture, Government of West Bengal",https://www.myscheme.gov.in/schemes/fssm,west_bengal,"Aadhaar card, Proof of land ownership, Quotation for machinery"
One Time Assistance to Small and Marginal Farmers for Purchase of Small Farm Implements (OTA-SFI),Assist farmers in procuring manually operated small farm implements.,Financial assistance for purchasing small farm tools necessary for agricultural operations.,Small and marginal farmers in West Bengal.,"Department of Agriculture, Government of West Bengal",https://www.myscheme.gov.in/schemes/ota-sfi,west_bengal,"Aadhaar card, Proof of land ownership, Quotation for tools"
Rashtriya Krishi Vikas Yojana (RKVY),Maximize minor irrigation development by exploring water resources.,Financial support for developing minor irrigation infrastructure to increase cropping intensity.,Farmers in areas lacking adequate irrigation facilities in West Bengal.,"Water Resources Investigation & Development Department, Government of West Bengal",https://www.wbwridd.gov.in/rkvy,west_bengal,"Aadhaar card, Proof of land ownership, Irrigation plan"
Krushak Assistance for Livelihood and Income Augmentation (KALIA),"Provide financial assistance to small, marginal farmers, and landless agricultural laborers.","Financial support for cultivation, livelihood support, insurance cover, and interest-free crop loans.","Small and marginal farmers, landless agricultural households, vulnerable agricultural households, and sharecroppers.","Department of Agriculture & Farmers' Empowerment, Odisha",https://www.myscheme.gov.in/schemes/kalia,odisha,"Proof of identity (e.g., Aadhaar card); Land ownership documents; Bank account details"
Biju Krushak Kalyan Yojana (BKKY),Provide health insurance coverage to farmers and their families.,Health insurance coverage up to ₹1 lakh per family per annum for secondary care and ₹3 lakh for certain critical ailments.,Farmers holding cultivable land and their families.,"Department of Agriculture & Farmers' Empowerment, Odisha",https://agri.odisha.gov.in/sites/default/files/2022-10/SCHEMES.pdf,odisha,"Proof of identity (e.g., Aadhaar card); Land ownership documents; Ration card; Bank account details"
Rythu Bandhu Scheme,Provide investment support to farmers.,"₹5,000 per acre per farmer for each season (Kharif & Rabi) for purchase of inputs like seeds, fertilizers, pesticides, and labor costs.",Farmers in Telangana.,"Department of Agriculture, Telangana Government",https://rythubharosa.telangana.gov.in/Default_Home.aspx,telangana,"Aadhaar card, Proof of land ownership, Recent photographs"
Rythu Bhima (Rythu Bandhu Group Life Insurance Scheme),Provide financial relief to bereaved family members in case of farmer's death.,"₹5,00,000 insurance coverage for farmers aged 18-59 years.",Farmers in Telangana.,"Department of Agriculture, Telangana Government",https://rythubharosa.telangana.gov.in/Default_Home.aspx,telangana,"Aadhaar card, Proof of land ownership, Recent photographs"
Subsidy Seed Distribution,Distribute crop seeds on subsidy.,"Subsidized seeds for crops like paddy, jowar, maize, redgram, greengram, blackgram, bengalgram, groundnut, castor, and green manure.",Farmers in Telangana.,"Department of Agriculture, Telangana Government",https://rythubharosa.telangana.gov.in/Default_Home.aspx,telangana,"Aadhaar card, Proof of land ownership, Recent photographs"
Seed Village Programme,Ensure supply of quality seeds to farmers.,Quick multiplication of new seed varieties in mandals/districts based on crop situation.,Farmers in Telangana.,"Department of Agriculture, Telangana Government",https://rythubharosa.telangana.gov.in/Default_Home.aspx,telangana,"Aadhaar card, Proof of land ownership, Recent photographs"
PM Kisan Urja Suraksha evam Utthaan Mahabhiyan (PM-KUSUM),Provide financial and water security to farmers.,Subsidy for installation of solar pumps and grid-connected solar power plants.,"Farmers, cooperatives, and farmer producer organizations (FPOs).",Rajasthan Financial Corporation,https://rfc.rajasthan.gov.in/scheme/detail/924,rajasthan,"CNIC, Proof of land ownership, Solar pump installation plan"
Krishi Kalyan Kosh,Support farmers in distress due to natural calamities.,Financial assistance for crop loss and rehabilitation.,Farmers affected by natural disasters.,"Agriculture Department, Rajasthan Government",https://agriwelfare.rajasthan.gov.in/content/agriwelfare/en/krishikalyankosh.html,rajasthan,"CNIC, Proof of crop loss, Recent photographs"
Kisan Pension Yojana,Provide financial assistance to elderly farmers.,Monthly pension to support old age farmers owning up to 2 hectares of land and cultivating their own land.,Elderly farmers owning up to 2 hectares of land and not receiving any other pension.,"Department of Social Welfare, Uttarakhand",https://www.myscheme.gov.in/schemes/kpy,uttarakhand,Aadhaar Card; Residence proof; Age proof; Land ownership documents; Bank account details; Income certificate; Passport size photograph
Deendayal Upadhyay Cooperative Farmers Welfare Scheme,Provide financial support to cooperative farmers for agricultural development.,Financial assistance for various agricultural activities through cooperatives.,Members of registered cooperative societies involved in agriculture.,"Department of Cooperation, Uttarakhand",https://www.govtschemes.in/uttarakhand-deendayal-upadhyay-cooperative-farmers-welfare-scheme,uttarakhand,Aadhaar Card; Residence proof; Self Help Group documents; Income certificate; PAN Card; Work plan documents; Cooperative bank account details; Land documents; Khata Khatauni; Kisan Card; Loan details (if any); Mobile number
